s,d_s,theta_1,d_theta_1,u,time,T
3.1210300958623743e-06,-3.2512150929423876e-05,1.1639768785709492e-05,-2.300747288433408e-05,0.00011548213379510602,9.760000000000126,1.332933770071374e-06
2.95989695512265e-06,-3.194110536646591e-05,1.1524930527695432e-05,-2.2931455059599236e-05,0.00011420911259159381,9.765000000000127,1.3184776086969718e-06
2.801603212388468e-06,-3.1376391727206756e-05,1.1410478347517738e-05,-2.2853031214844565e-05,0.00011294272785183015,9.770000000000127,1.3040930626209098e-06
2.6461172920234717e-06,-3.0817976418791835e-05,1.1296424115236903e-05,-2.2772265079589516e-05,0.00011168306168298414,9.775000000000128,1.2897811428944243e-06
2.4934077873461283e-06,-3.026582545214554e-05,1.1182779383833719e-05,-2.2689219464218665e-05,0.0001104301933292593,9.780000000000129,1.2755428270433824e-06
2.3434434625749683e-06,-2.971990445631847e-05,1.1069555395426534e-05,-2.260395626762055e-05,0.00010918419916541402,9.78500000000013,1.2613790590452124e-06
2.1961932547036846e-06,-2.918017869219498e-05,1.0956763084379872e-05,-2.251653648607405e-05,0.00010794515282469764,9.79000000000013,1.247290750730936e-06
2.0516262753073553e-06,-2.864661306633668e-05,1.0844413082189419e-05,-2.2427020221008364e-05,0.00010671312517166007,9.795000000000131,1.2332787815277014e-06
1.909711812280271e-06,-2.8119172144496997e-05,1.0732515722366998e-05,-2.2335466687076847e-05,0.00010548818436793619,9.800000000000132,1.2193439992048788e-06
1.77041933150701e-06,-2.7597820164807455e-05,1.0621081044881464e-05,-2.2241934220541366e-05,0.00010427039593790847,9.805000000000133,1.2054872206153321e-06
1.6337184784681327e-06,-2.7082521050743485e-05,1.0510118799711421e-05,-2.214648028763869e-05,0.00010305982281279372,9.810000000000134,1.1917092321965216e-06
1.4995790797810813e-06,-2.65732384240771e-05,1.0399638451730198e-05,-2.20491614923065e-05,0.00010185652533327717,9.815000000000135,1.1780107900352852e-06
1.3679711446772107e-06,-2.6069935617471143e-05,1.0289649185146743e-05,-2.1950033584335425e-05,0.00010066056132119143,9.820000000000135,1.164392620674264e-06
